"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"26ZJTT3P","conferencePaper","2016","Delay, Etienne; Piou, Cyril; Quenol, Hervé","Cooperative winnery can be a major actor for addapte viticulture localy?","ClimWine","","","","","","2016","2016-03-21 16:53:58","2017-11-04 12:42:07","","","","","","","","","","","","","","Bordeaux, France","","","","","","","","C-ACTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ClimWine","","","","","","","","","","","","","","",""
"42NB8JCF","bookSection","2014","Delay, Etienne; Reulier, Romain; Gaudieux, Aurélie; Thierry, Hugo; Amalric, Marion; Banos, Arnaud; Debonlini, Marta","Modèle Sisbio : Les apports d’un automate cellulaire au territoire","Receuil de fiches pédagogiques du réseau MAPS","","","","https://github.com/MAPS-fr/fichesPedago/raw/master/Recueil_fiches_pedagogiques_MAPS_Juillet_2014.pdf","","2014-07","2015-01-05 16:26:38","2017-11-04 12:42:23","","197-217","","","1","","","","","","","","MAPS","","","","","","","","","OS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GC6HCS7","journalArticle","2013","Delay, Etienne; Zottele, Fabio; Quenol, Hervé; De Ros, Giorgio","Mountain : a way for adaptation to global warming","Ciência e técnica vitivinicola","","0254-0223","","","","2013","2013-10-14 08:58:01","2017-11-04 12:42:44","","","","1","28","","","","","","","","","","","","","","","","","ACL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PN77GK2","conferencePaper","2012","Delay, Etienne; Zottele, Fabio","Zoning mountain landscapes for a valorisation of high identity products","IX International Terroir congress","","","","http://terviclim.in2p3.fr/IMG/pdf/13_DELAY.pdf","","2012","2012-10-11 08:25:12","2017-11-04 12:42:59","","2-13, 2-16","","","1","","","","","","","","","Dijon / Reims","","","","","","","","C-ACTI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IX International Terroir congress","","","","","","","","","","","","","","",""
"4TTH4C3W","journalArticle","2012","Delay, Etienne; Zottele, Fabio","Cartographie web : comment construire le lien entre territoire et consommateur ?","""CARTES & GÉOMATIQUE - Un Autre Monde""","","","","","","2012-09","2012-12-15 22:54:14","2017-11-04 12:43:22","","70-75","","213","","","","","","","","","","","fr","","","","","","","C-ACTN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5H6AHJCZ","bookSection","2013","Zottele, Fabio; Andreis, Daniele; Delay, Etienne","Vigneti di montagna, quanto sono eroici","Valle di Cembra, il territorio, la gente, il vino","","","","","","2013","2015-01-10 18:00:43","2017-11-04 12:44:58","","211-215","","","","","","","","","","","Artimedia","Trento (Italie)","","","","","","","","OS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8FN95QJ4","conferencePaper","2015","Delay, Etienne; Lammoglia, Adrien; Letrurcq, Samuel; Rouvellac, Éric","Simulation des dynamiques spatiales d'un territoire agro-viticole : premier pas vers le modèle VitiTerroir","Rencontres ThéoQuant","","","","","","2015","2016-03-21 16:04:51","2017-11-04 12:40:46","","","","","","","","","","","","","","Besançon, France","","","","","","","","C-ACTN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rencontres ThéoQuant","","","","","","","","","","","","","","",""
"9HJF8HEU","journalArticle","","Delay, Etienne; Becu, Nicolas","Overcoming the final frontier of climate change in viticulture: exploring interactions between society and environment using Agent Based Modelling and Companion Modelling approaches.","OENO One (accepté)","","","","","","","2016-03-21 16:29:07","2017-11-04 12:36:43","","1-13","","","","","","","","","","","","","","","","","","","","ACLN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3444SC6","journalArticle","2015","Delay, Etienne; Chevalier, Marius; Rouvellac, Éric; Zottele, Fabio","La coopérative : origine et conséquence des paysages viticoles de montagne ?","Journal of Alpine Research | Revue de géographie alpine","","","10.4000/rga.2719","https://rga.revues.org/2719","","2015","2014-12-06 13:14:41","2017-11-04 12:39:08","","","","","","","","","","","","","","","fr","© Journal of Alpine Research | Revue de géographie alpine","","","","rga.revues.org","","ACL","","; ","http://rga.revues.org/pdf/2462; http://rga.revues.org/2462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIDJ4JZP","journalArticle","2017","Taillandier, Franck; Adam, Carole; Delay, Etienne; Plattard, Odile; Toumi, Mira","Sprite : un modèle de simulation participative pour la sensibilisation au risque de submersion marine sur l’île d'Oléron.","Annales du Bâtiment et des travaux Publics","","","","","","2017","2016-07-20 07:27:33","2017-11-04 12:44:36","","38-47","","5-6","65","","","","","","","","","","","","","","","","","ACL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQUHAQP3","conferencePaper","2016","Delay, Etienne; Linton, James; Chevallier, Marius","L’entraide un facteur d’irrigation","Les Reclusiennes","","","","","","2016","2016-03-21 16:50:16","2017-11-04 12:41:08","","","","","","","","","","","","","","Ste Foy la Grande","","","","","","","","C-COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","l’eau ne coule plus de source","","","","","","","","","","","","","","",""
"C82HZQ5D","presentation","2013","Delay, Etienne","Réflexion sur la coexistence entre agricultures conventionnelles et SISBIO","","","","","","","2013","2015-03-05 20:00:14","2017-11-04 12:43:35","","","","","","","","","","","","","","FMSH Paris","","","","","","","","C-COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Journée d'étude MAPS6","","","","","","","","","","","","","","","",""
"CA9CWNTM","conferencePaper","2016","Delay, Etienne; Caffarra, Amelia; Quenol, Hervé","CeLL, an agent based model for exploring spatial heterogenity influence of climat change on Lobesia botrana developpement","ClimWine","","","","","","2016","2016-03-21 16:55:24","2017-11-04 12:38:38","","","","","","","","","","","","","","Bordeaux, France","","","","","","","","C-AFF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ClimWine","","","","","","","","","","","","","","",""
"CFFGET7W","journalArticle","2017","Delay, Etienne; Leturcq, Samuel; Rodier, Xavier","ViCTOr : paysage virtuel pour explorer les dynamiques de la VIticulture et de la Consommation en TOuRaine.","Cybergeo : European Journal of Geography","","","10.4000/cybergeo.28356","http://cybergeo.revues.org","","2017","2016-02-27 13:02:01","2017-11-04 12:40:52","2017-06-20","","","","","","","","","","","","","","","","","","","","","ACL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGBM3MZM","magazineArticle","2012","Zottele, Fabio; Andreis, Daniele; Delay, Etienne","Quanto sono eroici? Nuovi strumenti per la valorizzazione del lavoro dei viticoltori di montagna","Terra Trentina","","","","","","2012","2013-03-17 13:31:26","2017-11-04 12:44:47","","20-23","","4","","","","","","","","","","","","","","","","","","PV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRIA4TGU","journalArticle","2013","Delay, Etienne","Du paysage au terroir viticole de forte pente : à la recherche des leviers du management territorial","Projets de paysage","","","","http://www.projetsdepaysage.fr/fr/du_paysage_au_terroir_viticole_de_forte_pente_a_la_recherche_des_leviers_du_management_territorial","","2013-12-20","2015-01-02 19:58:38","2017-11-04 12:43:45","","1–18","","9","","","","","","","","","","","","","","","","","","ACL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
